,Album,Artist,ReleaseDate,Duration,AlbumURL
36,Inland,Jars of Clay,"August 27, 2013",51:05,https://www.allmusic.com/album/inland-mw0002562016
37,Hesitation Marks,Nine Inch Nails,"September 2, 2013",01:01:50,https://www.allmusic.com/album/hesitation-marks-mw0002555061
38,"Live In Argentina, 1994",King Crimson,"June 11, 2012",?,https://www.allmusic.com/album/live-in-argentina-1994-mw0002365467
39,Follow,Robert Fripp / Travis & Fripp / Theo Travis,"October 16, 2012",58:32,https://www.allmusic.com/album/follow-mw0002410806
40,Classic Albums Series: Jars of Clay/Much Afraid,Jars of Clay,"August 21, 2012",01:51:33,https://www.allmusic.com/album/classic-albums-series-jars-of-clay-much-afraid-mw0002401552
41,Treehouse,Ned Evett,2011,50:53,https://www.allmusic.com/album/treehouse-mw0002314815
42,The Gate,Kurt Elling,"February 7, 2011",51:42,https://www.allmusic.com/album/the-gate-mw0002087189
43,The Essential Mariah Carey,Mariah Carey,"January 10, 2011",02:03:00,https://www.allmusic.com/album/the-essential-mariah-carey-mw0002093503
44,Shame,Various,"cember 6, 2011",01:20:36,https://www.allmusic.com/album/shame-mw0000861595
45,Recupera Tus Clásicos,Caifanes,2011,03:32:11,https://www.allmusic.com/album/recupera-tus-cl%C3%A1sicos-mw0002138359
46,Pink Floyd: The Wall - As Performed By,Various,2011,01:22:50,https://www.allmusic.com/album/pink-floyd-the-wall-as-performed-by-mw0002142000
47,Karaoke Gold: In the Style of Mariah Carey,Various,2011,40:24,https://www.allmusic.com/album/karaoke-gold-in-the-style-of-mariah-carey-mw0002099790
48,Hammersmith Odeon,Frank Zappa,2011,02:53:49,https://www.allmusic.com/album/hammersmith-odeon-mw0002246096
49,A  Collection of Delicate Diamonds: A Tribute To Pink Floyd,Various,2011,02:16:12,https://www.allmusic.com/album/a-collection-of-delicate-diamonds-a-tribute-to-pink-floyd-mw0002139307
50,Triple Feature: Jars of Clay/Much Afraid/If I Left the Zoo,Jars of Clay,"cember 7, 2010",02:34:27,https://www.allmusic.com/album/triple-feature-jars-of-clay-much-afraid-if-i-left-the-zoo-mw0002092737
51,The Complete Columbia Album Collection 1972-1988,Herbie Hancock,"November 16, 2010",03:39:44,https://www.allmusic.com/album/the-complete-columbia-album-collection-1972-1988-mw0002003363
52,"The Collectable King Crimson, Vol. 5: Live in Japan, 1995",King Crimson,"September 14, 2010",01:59:43,https://www.allmusic.com/album/the-collectable-king-crimson-vol-5-live-in-japan-1995-mw0002025741
53,The  Social Network [Original Score],Trent Reznor / Atticus Ross / Trent Reznor & Atticus Ross,"October 15, 2010",01:06:11,https://www.allmusic.com/album/the-social-network-original-score--mw0002055443
54,Playlist: The Very Best of Mariah Carey,Mariah Carey,"January 26, 2010",58:32,https://www.allmusic.com/album/playlist-the-very-best-of-mariah-carey-mw0001953978
55,Hot Tub Time Machine [Original Motion Picture Soundtrack],Various,2010,59:43,https://www.allmusic.com/album/hot-tub-time-machine-original-motion-picture-soundtrack--mw0001960958
56,Genius of Live,Tom Tom Club,2010,02:00:06,https://www.allmusic.com/album/genius-of-live-mw0002029794
57,Doomsday Revolution,The New Czars,"September 14, 2010",01:06:45,https://www.allmusic.com/album/doomsday-revolution-mw0002033049
58,Daydream/Mariah Carey,Mariah Carey,"June 8, 2010",01:33:11,https://www.allmusic.com/album/daydream-mariah-carey-mw0001990298
59,Animale in Gabbia,Mondo Marcio,2010,50:28,https://www.allmusic.com/album/animale-in-gabbia-mw0001974155
60,"WOW Essentials, Vol. 2: All-Time Favorite Christian Songs",Various,"March 17, 2009",55:51,https://www.allmusic.com/album/wow-essentials-vol-2-all-time-favorite-christian-songs-mw0000811711
61,Raven Songs 101,Adrian Belew / Kevin Max,"April 21, 2009",29:20,https://www.allmusic.com/album/raven-songs-101-mw0001723116
62,Out Come the Freaks! An Island Post Punk Anthology,Various,"October 19, 2009",03:18:52,https://www.allmusic.com/album/out-come-the-freaks%21-an-island-post-punk-anthology-mw0001353283
63,Lo Esencial de Caifanes,Caifanes,2009,03:21:33,https://www.allmusic.com/album/lo-esencial-de-caifanes-mw0001330261
64,"King Crimson Songbook, Vol. 2",The Crimson Jazz Trio,"April 7, 2009",01:09:42,https://www.allmusic.com/album/king-crimson-songbook-vol-2-mw0000812547
65,"Def Jam 25, Vol. 10: Feature Presentation",Various,"May 31, 2009",42:47,https://www.allmusic.com/album/def-jam-25-vol-10-feature-presentation-mw0002395072
66,"Collectable King Crimson, Vol. 4",King Crimson,"May 5, 2009",01:46:03,https://www.allmusic.com/album/collectable-king-crimson-vol-4-mw0000817272
67,80's Greaties,Sugar Beats,"February 10, 2009",?,https://www.allmusic.com/album/80s-greaties-mw0000806807
68,40th Anniversary Tour Box,King Crimson,"April 18, 2009",40:36,https://www.allmusic.com/album/40th-anniversary-tour-box-mw0000820018
69,Young Lions/Pretty Pink Rose,Adrian Belew,"October 14, 2008",?,https://www.allmusic.com/album/young-lions-pretty-pink-rose-mw0000800795
70,"The Collectable King Crimson, Vol. 3: Live in London, Pts. 1-2 1996",King Crimson,"May 6, 2008",02:11:46,https://www.allmusic.com/album/the-collectable-king-crimson-vol-3-live-in-london-pts-1-2-1996-mw0000785258
71,The Album,Mike Zirkel,2008,42:49,https://www.allmusic.com/album/the-album-mw0001918370
72,Second Season,Wave Mechanics Union,2008,55:07,https://www.allmusic.com/album/second-season-mw0001458598
73,"Rock and Roll with Piano, Vol. 13",Various,"April 8, 2008",?,https://www.allmusic.com/album/rock-and-roll-with-piano-vol-13-mw0000784354
74,Reflections: An Act of Glass,Andrew Gorczyca,"June 25, 2008",41:55,https://www.allmusic.com/album/reflections-an-act-of-glass-mw0000811455
75,Progressive Rock Friends,Asia,"November 25, 2008",01:12:00,https://www.allmusic.com/album/progressive-rock-friends-mw0000801484
76,Playlist: New Wave,Various,"April 28, 2008",01:06:50,https://www.allmusic.com/album/playlist-new-wave-mw0001660635
77,Original Album Classics,Cyndi Lauper,"June 16, 2008",03:54:45,https://www.allmusic.com/album/original-album-classics-mw0000809880
78,One Shot Deal,Frank Zappa,"June 13, 2008",51:51,https://www.allmusic.com/album/one-shot-deal-mw0000793892
79,"Live in New York, NY 1982",King Crimson,"April 1, 2008",01:10:55,https://www.allmusic.com/album/live-in-new-york-ny-1982-mw0001669562
80,Greatest Hits [Steel Box Collection],Cyndi Lauper,"July 28, 2008",39:55,https://www.allmusic.com/album/greatest-hits-steel-box-collection--mw0000809724
81,Greatest Hits,Jars of Clay,"April 1, 2008",59:44,https://www.allmusic.com/album/greatest-hits-mw0000498025
82,Ghosts I-IV,Nine Inch Nails,"March 2, 2008",01:50:07,https://www.allmusic.com/album/ghosts-i-iv-mw0000783108
83,Funky Nassau: The Compass Point Story 1980-1986,Various,"March 11, 2008",01:18:09,https://www.allmusic.com/album/funky-nassau-the-compass-point-story-1980-1986-mw0000781624
84,E=MC²,Mariah Carey,"April 15, 2008",52:09,https://www.allmusic.com/album/emc%C2%B2-mw0000496749
85,De Caifanes a Jaguares [DVD],Caifanes,"April 22, 2008",?,https://www.allmusic.com/album/de-caifanes-a-jaguares-dvd--mw0001660008
86,De Caifanes a Jaguares,Caifanes / De Caifanes a Jaguares / Jaguares,"April 22, 2008",01:03:36,https://www.allmusic.com/album/de-caifanes-a-jaguares-mw0000783061
87,Ultra Sexy/Cool: Music for How You Live,Various,"August 14, 2007",01:16:53,https://www.allmusic.com/album/ultra-sexy-cool-music-for-how-you-live-mw0000584833
88,This is Guitar Gods,Various,"August 7, 2007",02:30:37,https://www.allmusic.com/album/this-is-guitar-gods-mw0000780055
89,The Essential Paul Simon,Paul Simon,"June 26, 2007",02:28:23,https://www.allmusic.com/album/the-essential-paul-simon-mw0000745557
90,The Essential Jars of Clay,Jars of Clay,"September 4, 2007",02:14:52,https://www.allmusic.com/album/the-essential-jars-of-clay-mw0000585019
91,"The Collectable King Crimson, Vol. 2 Live in Bath 1981",King Crimson,"March 12, 2007",02:13:12,https://www.allmusic.com/album/the-collectable-king-crimson-vol-2-live-in-bath-1981-mw0000479243
92,The Adventures of Mimi,Mariah Carey,"November 30, 2007",?,https://www.allmusic.com/album/the-adventures-of-mimi-mw0001236932
93,Re-Building the Wall: A Tribute to Pink Floyd,Various,"April 9, 2007",01:37:32,https://www.allmusic.com/album/re-building-the-wall-a-tribute-to-pink-floyd-mw0001507520
94,R&B Anthems,Various,"August 13, 2007",03:51:22,https://www.allmusic.com/album/r-amp-b-anthems-mw0001568006
95,Pink Box: Songs of Pink Floyd,Various,"October 23, 2007",02:09:07,https://www.allmusic.com/album/pink-box-songs-of-pink-floyd-mw0000492353
96,Old School Funk Celebration,Various,"March 27, 2007",02:10:04,https://www.allmusic.com/album/old-school-funk-celebration-mw0000486299
97,It's Always Summer,Danny Morgan,2007,48:01,https://www.allmusic.com/album/its-always-summer-mw0001628584
98,Instant Karma: The Amnesty International Campaign to Save Darfur,Various,"June 12, 2007",01:25:27,https://www.allmusic.com/album/instant-karma-the-amnesty-international-campaign-to-save-darfur-mw0000577865
99,Eureka!,The Bears,2007,?,https://www.allmusic.com/album/eureka%21-mw0001168621
100,Daydream/Butterfly,Mariah Carey,"September 17, 2007",01:54:04,https://www.allmusic.com/album/daydream-butterfly-mw0001181648
101,"Culture Club, Vol. 5: Pt. 2",Various,"March 27, 2007",01:07:00,https://www.allmusic.com/album/culture-club-vol-5-pt-2-mw0001510399
102,"Collector's Box, Vol. 5: 1995 & After",King Crimson,"October 1, 2007",05:00:55,https://www.allmusic.com/album/collectors-box-vol-5-1995-amp-after-mw0001144840
103,"Collector's Box, Vol. 4: 1981-1982",King Crimson,"October 1, 2007",04:32:15,https://www.allmusic.com/album/collectors-box-vol-4-1981-1982-mw0001394490
104,Viva Tin Tan,Various,"January 24, 2006",50:49,https://www.allmusic.com/album/viva-tin-tan-mw0000702058
105,Trance-Fusion,Frank Zappa,"October 24, 2006",01:01:34,https://www.allmusic.com/album/trance-fusion-mw0000735222
106,The Motherlode,Sara Hickman,"June 20, 2006",01:27:30,https://www.allmusic.com/album/the-motherlode-mw0000417437
107,The Greatest 80's Hits of All Time,Various,2006,02:26:14,https://www.allmusic.com/album/the-greatest-80s-hits-of-all-time-mw0001477717
108,The Definitive Groove Collection: Sugar Hill Records,Various,"August 8, 2006",02:37:47,https://www.allmusic.com/album/the-definitive-groove-collection-sugar-hill-records-mw0000582840
109,The Condensed 21st Century Guide to King Crimson: 1969-2003,King Crimson,"October 16, 2006",02:39:40,https://www.allmusic.com/album/the-condensed-21st-century-guide-to-king-crimson-1969-2003-mw0000452868
110,"The Collectors' King Crimson, Vol. 10",King Crimson,"August 29, 2006",05:45:21,https://www.allmusic.com/album/the-collectors-king-crimson-vol-10-mw0000742164
111,The Anatomy Of,Between the Buried and Me,"June 13, 2006",01:09:54,https://www.allmusic.com/album/the-anatomy-of-mw0000722228
112,Steve's Hamper,The 4-Squares,"February 23, 2006",31:25,https://www.allmusic.com/album/steves-hamper-mw0000229303
113,Side Three,Adrian Belew,"April 18, 2006",38:40,https://www.allmusic.com/album/side-three-mw0000408787
114,Return to the Dark Side of the Moon,Various,"May 16, 2006",48:22,https://www.allmusic.com/album/return-to-the-dark-side-of-the-moon-mw0000416487
115,Resonator,Tony Levin,"April 4, 2006",51:11,https://www.allmusic.com/album/resonator-mw0000659855
116,Pink Floyd's The Wall Revisited,Various,"March 21, 2006",01:19:28,https://www.allmusic.com/album/pink-floyds-the-wall-revisited-mw0000400298
117,Old School Celebration,Various,"January 31, 2006",01:08:58,https://www.allmusic.com/album/old-school-celebration-mw0000344933
118,"Live in Munich, September 29, 1982",King Crimson,"October, 2006",01:10:30,https://www.allmusic.com/album/live-in-munich-september-29-1982-mw0001638139
119,"Live in Chicago, Il 1998",ProjeKct Two,"cember, 2006",01:27:51,https://www.allmusic.com/album/live-in-chicago-il-1998-mw0001218543
120,"Live at the Wiltern, 1995",King Crimson,"February, 2006",01:50:35,https://www.allmusic.com/album/live-at-the-wiltern-1995-mw0001643052
121,Journey into Paradise: The Larry Levan Story,Larry Levan,"April 11, 2006",02:34:51,https://www.allmusic.com/album/journey-into-paradise-the-larry-levan-story-mw0000721577
122,Hip Hop Essentials [Box Set],Various,"cember 5, 2006",12:07:04,https://www.allmusic.com/album/hip-hop-essentials-box-set--mw0000445743
123,Gold,Joe Cocker,"March 7, 2006",02:24:02,https://www.allmusic.com/album/gold-mw0000346946
124,Dance Classics: The Ultimate Collection [Universal International],Various,"March 13, 2006",03:37:36,https://www.allmusic.com/album/dance-classics-the-ultimate-collection-universal-international--mw0001442435
125,Wow #1s: 31 of the Greatest Christian Music Hits Ever,Various,"April 5, 2005",02:09:50,https://www.allmusic.com/album/wow-1s-31-of-the-greatest-christian-music-hits-ever-mw0000253097
126,Ultimate 16: Retro '80s,Various,"October 4, 2005",59:57,https://www.allmusic.com/album/ultimate-16-retro-80s-mw0000704133
127,The Essential Jean Michel Jarre,Jean-Michel Jarre,"January 25, 2005",01:06:31,https://www.allmusic.com/album/the-essential-jean-michel-jarre-mw0000705394
128,The Definitive Ol' Dirty Bastard Story,Ol' Dirty Bastard,"June 21, 2005",01:03:11,https://www.allmusic.com/album/the-definitive-ol-dirty-bastard-story-mw0000538104
129,"The 21st Century Guide to King Crimson, Vol. 2: 1981-2003",King Crimson,"October 18, 2005",05:10:38,https://www.allmusic.com/album/the-21st-century-guide-to-king-crimson-vol-2-1981-2003-mw0000181648
130,Talking Heads,Talking Heads,"October 4, 2005",14:51:28,https://www.allmusic.com/album/talking-heads-mw0000176392
131,Side Two,Adrian Belew,"July 12, 2005",33:08,https://www.allmusic.com/album/side-two-mw0000702274
132,Side One,Adrian Belew,"January 25, 2005",33:02,https://www.allmusic.com/album/side-one-mw0000374383
133,Of Hands and Hearts: Music for the Tsunami Disaster Fund,Various,"March 15, 2005",02:36:17,https://www.allmusic.com/album/of-hands-and-hearts-music-for-the-tsunami-disaster-fund-mw0000209238
134,Lone Rhino/Twang Bar King,Adrian Belew,"January 4, 2005",01:19:26,https://www.allmusic.com/album/lone-rhino-twang-bar-king-mw0000187227
135,"Live in Warsaw, 2000",King Crimson,"January 18, 2005",01:46:02,https://www.allmusic.com/album/live-in-warsaw-2000-mw0001394999
136,"King Crimson Songbook, Vol. 1",The Crimson Jazz Trio,"November 15, 2005",01:01:49,https://www.allmusic.com/album/king-crimson-songbook-vol-1-mw0000672766
137,"Hip Hop Essentials, Vol. 1",Various,"November 8, 2005",01:12:02,https://www.allmusic.com/album/hip-hop-essentials-vol-1-mw0000348253
138,Habitat,Man on Fire,"June 14, 2005",01:08:29,https://www.allmusic.com/album/habitat-mw0000425948
139,Fission Trip,Fission Trip,"September 12, 2005",57:03,https://www.allmusic.com/album/fission-trip-mw0000261776
140,Equinoxe/Zoolook,Jean-Michel Jarre,"October 24, 2005",01:17:00,https://www.allmusic.com/album/equinoxe-zoolook-mw0000519743
141,Deadwing,Porcupine Tree,"April 26, 2005",01:12:07,https://www.allmusic.com/album/deadwing-mw0000142633
142,Cronicas de un Laberinto,Jaguares,"May 31, 2005",51:45,https://www.allmusic.com/album/cronicas-de-un-laberinto-mw0000207745
143,Back Against the Wall: A Tribute to Pink Floyd,Various,"September 13, 2005",01:22:51,https://www.allmusic.com/album/back-against-the-wall-a-tribute-to-pink-floyd-mw0000170553
144,42 Days,Saul Zonana,"April 19, 2005",42:24,https://www.allmusic.com/album/42-days-mw0000149392
145,"12""/'80s/2",Various,"July 12, 2005",03:44:48,https://www.allmusic.com/album/12-quot-80s-2-mw0000688780
146,Ultimate Collection [Hip-O],Joe Cocker,"January 13, 2004",01:19:51,https://www.allmusic.com/album/ultimate-collection-hip-o--mw0002310437
147,Trampin',Patti Smith,"April 27, 2004",01:03:36,https://www.allmusic.com/album/trampin-mw0000339125
148,This Is Crucial Reggae,Culture,"August 10, 2004",51:08,https://www.allmusic.com/album/this-is-crucial-reggae-mw0000211027
149,The Studio Recordings 1972-2000,Paul Simon,"June 29, 2004",08:01:50,https://www.allmusic.com/album/the-studio-recordings-1972-2000-mw0000470471
150,The String Quartet Tribute to Mariah Carey,Vitamin String Quartet,"June 22, 2004",52:44,https://www.allmusic.com/album/the-string-quartet-tribute-to-mariah-carey-mw0000205540
151,The Collection,Cyndi Lauper,"July 13, 2004",02:24:00,https://www.allmusic.com/album/the-collection-mw0000656096
152,The Best of Talking Heads,Talking Heads,"August 17, 2004",01:17:15,https://www.allmusic.com/album/the-best-of-talking-heads-mw0000150056
153,Technical Difficulties,Training for Utopia,"April 20, 2004",01:16:38,https://www.allmusic.com/album/technical-difficulties-mw0000697472
154,"Suburbia Compilation, Vol. 2",Various,"April 20, 2004",02:25:54,https://www.allmusic.com/album/suburbia-compilation-vol-2-mw0000433273
155,Quaudiophiliac,Frank Zappa,"September 14, 2004",50:36,https://www.allmusic.com/album/quaudiophiliac-mw0000255857
156,"ProjeKct Three: Live in Austin, TX  March 25, 1999",King Crimson,"October, 2004",01:18:55,https://www.allmusic.com/album/projekct-three-live-in-austin-tx-march-25-1999-mw0001005131
157,Old School Nation!,Various,"August 10, 2004",02:31:46,https://www.allmusic.com/album/old-school-nation%21-mw0000219278
158,"Old School Jams, Vol. 5",Various,"November 30, 2004",02:35:06,https://www.allmusic.com/album/old-school-jams-vol-5-mw0000633815
159,Milk the Thrills,Frank Jordan,"February 17, 2004",46:17,https://www.allmusic.com/album/milk-the-thrills-mw0000332178
160,"Live in Philadelphia, PA: July 30, 1982",King Crimson,"April 25, 2004",01:19:29,https://www.allmusic.com/album/live-in-philadelphia-pa-july-30-1982-mw0002618499
161,"Live in Philadelphia, PA, August 26th, 1996",King Crimson,"April 25, 2004",01:44:34,https://www.allmusic.com/album/live-in-philadelphia-pa-august-26th-1996-mw0001006798
162,Has Been,William Shatner,"October 5, 2004",39:49,https://www.allmusic.com/album/has-been-mw0000167771
163,Everlasting,Rachel Z,"May 25, 2004",01:07:11,https://www.allmusic.com/album/everlasting-mw0000455695
164,Chartbuster Karaoke: Mariah Carey 1990-1993,Various,"January 1, 2004",01:06:43,https://www.allmusic.com/album/chartbuster-karaoke-mariah-carey-1990-1993-mw0001369031
165,Chartbuster Karaoke: Greatest Songs of 90s Pop Hits,Various,"cember 10, 2004",03:48:26,https://www.allmusic.com/album/chartbuster-karaoke-greatest-songs-of-90s-pop-hits-mw0001895799
166,World Moods,Nusound,"October 7, 2003",51:45,https://www.allmusic.com/album/world-moods-mw0000319238
167,The Remixes,Mariah Carey,"October 14, 2003",02:20:29,https://www.allmusic.com/album/the-remixes-mw0000319981
168,The Power to Believe Tour Box,King Crimson,"February 28, 2003",01:04:56,https://www.allmusic.com/album/the-power-to-believe-tour-box-mw0001284198
169,The Power to Believe,King Crimson,"March 4, 2003",51:11,https://www.allmusic.com/album/the-power-to-believe-mw0000018851
170,The Honorary Title,The Honorary Title,"cember 2, 2003",25:39,https://www.allmusic.com/album/the-honorary-title-mw0000695438
171,Tell It to Your Landlord,Harmonica Shah,"May 27, 2003",01:07:14,https://www.allmusic.com/album/tell-it-to-your-landlord-mw0000029616
172,Sham Rock: Irish Showbands Go Pop!,Various,"November 25, 2003",02:09:46,https://www.allmusic.com/album/sham-rock-irish-showbands-go-pop%21-mw0000322872
173,Remain in Light/Speaking in Tongues/Fear of Music,Talking Heads,"cember 2, 2003",02:01:49,https://www.allmusic.com/album/remain-in-light-speaking-in-tongues-fear-of-music-mw0001264211
174,Once in a Lifetime,Talking Heads,"November 11, 2003",03:53:41,https://www.allmusic.com/album/once-in-a-lifetime-mw0002055192
175,Eyes Wide Open,King Crimson,"October 21, 2003",?,https://www.allmusic.com/album/eyes-wide-open-mw0001347357
176,EleKtriK,King Crimson,"cember 15, 2003",01:14:46,https://www.allmusic.com/album/elektrik-mw0000742614
177,"Collectors' King Crimson, Vol. 7",King Crimson,"March 25, 2003",03:44:55,https://www.allmusic.com/album/collectors-king-crimson-vol-7-mw0000458210
178,Bringing Down the House,Various,"March 4, 2003",51:43,https://www.allmusic.com/album/bringing-down-the-house-mw0000021053
179,Zappa Picks [Larry LaLonde],Frank Zappa,"October 15, 2002",01:09:10,https://www.allmusic.com/album/zappa-picks-larry-lalonde--mw0000227118
180,Zappa Picks [Jonathan Fishman],Frank Zappa,"October 15, 2002",01:11:02,https://www.allmusic.com/album/zappa-picks-jonathan-fishman--mw0000226903
181,Wetton and Downes,Geoff Downes / John Wetton,"September 3, 2002",01:01:01,https://www.allmusic.com/album/wetton-and-downes-mw0000228975
182,US,Ryuichi Sakamoto,"October 8, 2002",02:38:16,https://www.allmusic.com/album/us-mw0000457143
183,"The Paul Simon Collection: On My Way, Don't Know Where I'm Goin'",Paul Simon,"November 5, 2002",01:43:38,https://www.allmusic.com/album/the-paul-simon-collection-on-my-way-dont-know-where-im-goin-mw0000662651
184,The Biggest Dancehall Anthems: 1979-1982,Various,"July 30, 2002",02:18:41,https://www.allmusic.com/album/the-biggest-dancehall-anthems-1979-1982-mw0000661408
185,Texas Troubadour [Snapper Long Box],Townes Van Zandt,"November 5, 2002",04:35:11,https://www.allmusic.com/album/texas-troubadour-snapper-long-box--mw0000227587
186,Shining Bright: Songs of Mike & Lal Waterson,Various,"October 22, 2002",53:41,https://www.allmusic.com/album/shining-bright-songs-of-mike-amp-lal-waterson-mw0000228025
187,She's So Unusual/True Colours,Cyndi Lauper,"June 4, 2002",01:31:15,https://www.allmusic.com/album/shes-so-unusual-true-colours-mw0000472960
188,Normal,Pretty Mighty Mighty,2002,26:28,https://www.allmusic.com/album/normal-mw0000662224
189,"Live in Nashville, TN 2001",King Crimson,"March 20, 2002",01:17:14,https://www.allmusic.com/album/live-in-nashville-tn-2001-mw0001246868
190,Live @ the Clubhouse,Tom Tom Club,"September 24, 2002",01:33:59,https://www.allmusic.com/album/live-the-clubhouse-mw0000661740
191,Happy with What You Have to Be Happy With,King Crimson,"October 8, 2002",33:00,https://www.allmusic.com/album/happy-with-what-you-have-to-be-happy-with-mw0000225401
192,"Fighting Music, Vol. 2",Various,"September 17, 2002",01:11:38,https://www.allmusic.com/album/fighting-music-vol-2-mw0000232578
193,Double Espresso,Tony Levin,"November 5, 2002",01:51:43,https://www.allmusic.com/album/double-espresso-mw0000227778
